[12.18 14:32:55.138] [Log] Log started.
[12.18 14:32:55.782] [Program] Sentry initialized.
[12.18 14:32:55.796] [AppCenterBootstrapper] AppCenterBootstrapper started.
[12.18 14:32:55.796] [AppCenterBootstrapper] Microsoft Windows NT 10.0.19045.0
[12.18 14:32:55.797] [AppCenterBootstrapper] .NET Framework Registry Release Key Value: 533325
[12.18 14:32:55.798] [AppCenterBootstrapper] .NET Framework 4.8 or later is installed
[12.18 14:32:55.823] [AppCenterBootstrapper] InstallConfigurationManager: Reading InstallConfigurationData...
[12.18 14:33:09.226] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 64%, State: Processing, OperationStatus: Started
[12.18 14:33:09.258] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 65%, State: Processing, OperationStatus: Started
[12.18 14:33:09.289] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 66%, State: Processing, OperationStatus: Started
[12.18 14:33:09.580] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 67%, State: Processing, OperationStatus: Started
[12.18 14:33:09.627] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 68%, State: Processing, OperationStatus: Started
[12.18 14:33:09.671] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 69%, State: Processing, OperationStatus: Started
[12.18 14:33:09.830] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 70%, State: Processing, OperationStatus: Started
[12.18 14:33:09.964] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 71%, State: Processing, OperationStatus: Started
[12.18 14:33:10.030] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 72%, State: Processing, OperationStatus: Started
[12.18 14:33:10.117] [AppCenterBootstrapper] InstallationsManager.ProgressChanged: Product: MobiSystems.MobiInstaller_bvgb55c3tfatp, Progress: 73%, State: Processing, OperationStatus: Started
